geom_x_y;genre;espece;adresse;idbase;typeemplacement;domanialite;arrondissement;complementadresse;numero;idemplacement;circonferenceencm;hauteurenm;stadedeveloppement;pepiniere;varieteoucultivar;dateplantation;remarquable;objectid;libellefrancais
48.8341620932,2.38255442632;Platanus;x hispanica;PARC DE BERCY;100818.0;Arbre;Jardin;PARIS 12E ARRDT;12-36;;00000373;502.0;35.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;150339;Platane
48.8542732882,2.33573525468;Paulownia;tomentosa;RUE DE FURSTEMBERG;216766.0;Arbre;Alignement;PARIS 6E ARRDT;;;000101001;295.0;20.0;M;Guillot Bourne;;1999-01-25T01:00:00+00:00;1;150981;Paulownia
48.882331696,2.31024539129;Aesculus;hippocastanum;PELOUSES DE LA PLACE DU GENERAL CATROUX;128154.0;Arbre;Jardin;PARIS 17E ARRDT;;;00000013;385.0;25.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;174915;Marronnier
48.8767091018,2.33192988137;Pterocarya;fraxinifolia;SQUARE D''ESTIENNE D''ORVES;323350.0;Arbre;Jardin;PARIS 9E ARRDT;09-01;;00000050;340.0;26.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;224313;Pterocarya
48.8803354834,2.38130530981;Platanus;x hispanica;PARC DES BUTTES CHAUMONT;102141.0;Arbre;Jardin;PARIS 19E ARRDT;19-08;;H0690012;686.0;30.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;3122;Platane
48.8615163386,2.39906598184;Gymnocladus;dioica;CIMETIERE DU PERE LACHAISE / DIV 77;158609.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-17;;D00000077024;155.0;11.0;A;Inconnue;''Variegata'';1700-01-01T00:09:21+00:00;1;6237;Chicot du Canada
48.8631730613,2.26173856394;Pterocarya;fraxinifolia;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;2002392.0;Arbre;Jardin;BOIS DE BOULOGNE;16-02;;000101004;407.0;27.0;M;Inconnue;;1882-01-01T00:09:21+00:00;1;43688;Pterocarya
48.8946228565,2.3268523785;Liriodendron;tulipifera;SQUARE DES EPINETTES;134212.0;Arbre;Jardin;PARIS 17E ARRDT;17-03;;00000134;250.0;17.0;A;Inconnue;;1700-01-01T00:09:21+00:00;1;45636;Tulipier
48.8729000638,2.29056540474;Morus;nigra;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;114685.0;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 14 - 11 à 27;;000103010;156.0;8.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;47875;Mûrier
48.8704055251,2.24852119162;Platanus;orientalis;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;2002351.0;Arbre;Jardin;BOIS DE BOULOGNE;16-18;;000701007;221.0;24.0;M;Inconnue;;1843-01-01T00:09:21+00:00;1;50037;Platane
